,majorGroup,scientificName,kingdomName,image_inaturalist,licence,assessmentId,internalTaxonId,phylumName,orderName,className,familyName,genusName,speciesName,authority,redlistCategory,populationTrend,scopes
1,Fishes,Alopias pelagicus,ANIMALIA,https://www.inaturalist.org/photos/198558527,"(c) Rafi Amar, some rights reserved (CC BY-NC)",68607857,161597,CHORDATA,LAMNIFORMES,CHONDRICHTHYES,ALOPIIDAE,Alopias,pelagicus,"Nakamura, 1935",Endangered,Decreasing,Global
2,Fishes,Aphyosemion joergenscheeli,ANIMALIA,https://www.inaturalist.org/photos/11293395,"(c) joe_cutler, some rights reserved (CC BY-NC)",7757282,181887,CHORDATA,CYPRINODONTIFORMES,ACTINOPTERYGII,NOTHOBRANCHIIDAE,Aphyosemion,joergenscheeli,"Huber &amp; Radda, 1977",Least Concern,Unknown,"Global, Central Africa & Pan-Africa"
3,Fishes,Synodontis flavitaeniatus,ANIMALIA,https://www.inaturalist.org/photos/53144351,"(c) John P Friel, some rights reserved (CC BY)",7809758,182127,CHORDATA,SILURIFORMES,ACTINOPTERYGII,MOCHOKIDAE,Synodontis,flavitaeniatus,"Boulenger, 1919",Least Concern,Unknown,"Global, Central Africa & Pan-Africa"
4,Fishes,Helostoma temminckii,ANIMALIA,https://www.inaturalist.org/photos/60076721,"(c) 5snake5, some rights reserved (CC BY-SA)",156937361,181326,CHORDATA,PERCIFORMES,ACTINOPTERYGII,HELOSTOMATIDAE,Helostoma,temminckii,"Cuvier, 1829",Least Concern,Stable,Global
5,Fishes,Carcharias taurus,ANIMALIA,https://www.inaturalist.org/photos/156219664,"(c) Luis PÈrez Berrocal, some rights reserved (CC BY-NC)",2876505,3854,CHORDATA,LAMNIFORMES,CHONDRICHTHYES,ODONTASPIDIDAE,Carcharias,taurus,"Rafinesque, 1810",Critically Endangered,Decreasing,Global
6,Fishes,Retropinna semoni,ANIMALIA,https://www.inaturalist.org/photos/185491507,"(c) codystory, some rights reserved (CC BY-NC)",123382631,123355754,CHORDATA,OSMERIFORMES,ACTINOPTERYGII,RETROPINNIDAE,Retropinna,semoni,"(Weber, 1895)",Least Concern,Stable,Global
7,Fishes,Gyrinocheilus aymonieri,ANIMALIA,https://www.inaturalist.org/photos/53953054,"(c) H.T.Cheng, some rights reserved (CC BY-NC)",1686747,180997,CHORDATA,CYPRINIFORMES,ACTINOPTERYGII,GYRINOCHEILIDAE,Gyrinocheilus,aymonieri,"(Tirant, 1883)",Least Concern,Decreasing,Global
8,Fishes,Synbranchus marmoratus,ANIMALIA,https://www.inaturalist.org/photos/176923471,"(c) Josh Vandermeulen, some rights reserved (CC BY-NC-ND)",1814657,186540,CHORDATA,SYNBRANCHIFORMES,ACTINOPTERYGII,SYNBRANCHIDAE,Synbranchus,marmoratus,"Bloch, 1795",Least Concern,Unknown,Global
9,Fishes,Atherinomorus stipes,ANIMALIA,https://www.inaturalist.org/photos/196082877,"(c) Ali and Brice, some rights reserved (CC BY-NC)",4772225,155310,CHORDATA,ATHERINIFORMES,ACTINOPTERYGII,ATHERINIDAE,Atherinomorus,stipes,"(M√ºller &amp; Troschel, 1848)",Least Concern,Stable,Global
10,Fishes,Tylosurus crocodilus,ANIMALIA,https://www.inaturalist.org/photos/70924450,"(c) Philippe Bourjon, some rights reserved (CC BY-SA)",15602960,183274,CHORDATA,BELONIFORMES,ACTINOPTERYGII,BELONIDAE,Tylosurus,crocodilus,"(P√©ron &amp; Lesueur, 1821)",Least Concern,Unknown,Global
11,Fishes,Trygonorrhina dumerilii,ANIMALIA,https://www.inaturalist.org/photos/70169651,"(c) Martin, some rights reserved (CC BY-NC-SA)",43270336,43270317,CHORDATA,RHINOPRISTIFORMES,CHONDRICHTHYES,TRYGONORRHINIDAE,Trygonorrhina,dumerilii,"Castelnau, 1873",Least Concern,Stable,Global
12,Fishes,Carcharhinus plumbeus,ANIMALIA,https://www.inaturalist.org/photos/182239485,"(c) Nicholas Hess, some rights reserved (CC BY-NC)",2874370,3853,CHORDATA,CARCHARHINIFORMES,CHONDRICHTHYES,CARCHARHINIDAE,Carcharhinus,plumbeus,"(Nardo, 1827)",Endangered,Decreasing,Global
13,Fishes,Oxynotus caribbaeus,ANIMALIA,https://www.inaturalist.org/photos/116380769,"(c) BenoÓt Segerer, some rights reserved (CC BY-NC)",124433035,44568,CHORDATA,SQUALIFORMES,CHONDRICHTHYES,OXYNOTIDAE,Oxynotus,caribbaeus,"Cervig√≥n, 1961",Least Concern,Stable,Global
14,Fishes,Mobula tarapacana,ANIMALIA,https://www.inaturalist.org/photos/204906887,"(c) Sylvain Le Bris, some rights reserved (CC BY-NC)",124451161,60199,CHORDATA,MYLIOBATIFORMES,CHONDRICHTHYES,MOBULIDAE,Mobula,tarapacana,"(Philippi, 1892)",Endangered,Decreasing,Global
15,Fishes,Anguilla marmorata,ANIMALIA,https://www.inaturalist.org/photos/610866,"(c) ???, some rights reserved (CC BY-SA)",176493885,166189,CHORDATA,ANGUILLIFORMES,ACTINOPTERYGII,ANGUILLIDAE,Anguilla,marmorata,"Quoy &amp; Gaimard, 1824",Least Concern,Unknown,Global
16,Fishes,Crenimugil crenilabis,ANIMALIA,https://www.inaturalist.org/photos/9103303,"(c) Peter, some rights reserved (CC BY-NC)",96230856,196421,CHORDATA,MUGILIFORMES,ACTINOPTERYGII,MUGILIDAE,Crenimugil,crenilabis,"(Forssk√•l, 1775)",Least Concern,Unknown,Global
17,Fishes,Balistes capriscus,ANIMALIA,https://www.inaturalist.org/photos/166417964,"(c) Susanne Spindler, some rights reserved (CC BY-NC-ND)",97662794,193736,CHORDATA,TETRAODONTIFORMES,ACTINOPTERYGII,BALISTIDAE,Balistes,capriscus,"Gmelin, 1789",Vulnerable,Decreasing,Global
18,Fishes,Zeugopterus regius,ANIMALIA,https://www.inaturalist.org/photos/59301041,"(c) Alex, some rights reserved (CC BY-NC)",162868728,198733,CHORDATA,PLEURONECTIFORMES,ACTINOPTERYGII,SCOPHTHALMIDAE,Zeugopterus,regius,"(Bonnaterre, 1788)",Least Concern,Unknown,Global
19,Fishes,Hiodon alosoides,ANIMALIA,https://www.inaturalist.org/photos/133932566,"(c) jasonrl, some rights reserved (CC BY-NC)",18232129,202408,CHORDATA,OSTEOGLOSSIFORMES,ACTINOPTERYGII,HIODONTIDAE,Hiodon,alosoides,"(Rafinesque, 1819)",Least Concern,Stable,Global
20,Fishes,Synanceia verrucosa,ANIMALIA,https://www.inaturalist.org/photos/2848402,"(c) Philippe Guillaume, some rights reserved (CC BY-NC)",116389039,114180058,CHORDATA,SCORPAENIFORMES,ACTINOPTERYGII,SYNANCEIIDAE,Synanceia,verrucosa,"Bloch &amp; Schneider, 1801",Least Concern,Stable,Global
