,majorGroup,familyName,genusName,assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes,redlistIndex,image_inaturalist,licence
1,Dicot,CACTACEAE,Eriosyce,121473061,152394,Eriosyce confinis,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,confinis,NA,NA,NA,(F.Ritter) Katt.,Vulnerable,"B1ab(i,ii,iii,v)",3.1,Decreasing,Global,3,https://www.inaturalist.org/photos/33314442?size=original,"(c) Nicol�s Lavandero, some rights reserved (CC BY)"
2,Dicot,CHRYSOBALANACEAE,Moquilea,162583231,149461383,Moquilea corniculata,PLANTAE,TRACHEOPHYTA,MALPIGHIALES,MAGNOLIOPSIDA,corniculata,NA,NA,NA,(Prance) Sothers &amp; Prance,Endangered,"B1ab(i,ii,iii)+2ab(i,ii,iii)",3.1,Unknown,Global,4,Khong co,
3,Dicot,CONVOLVULACEAE,Bonamia,10862572,44129,Bonamia menziesii,PLANTAE,TRACHEOPHYTA,SOLANALES,MAGNOLIOPSIDA,menziesii,NA,NA,NA,A.Gray,Critically Endangered,C2a(i),3.1,Unknown,Global,5,https://www.inaturalist.org/photos/11187121,"(c) Philip Thomas, some rights reserved (CC BY-NC)"
4,Dicot,LAMIACEAE,Rotheca,146441871,157965,Rotheca myricoides,PLANTAE,TRACHEOPHYTA,LAMIALES,MAGNOLIOPSIDA,myricoides,NA,NA,NA,(Hochst.) Steane &amp; Mabb.,Least Concern,,3.1,Stable,Global,1,,
5,Dicot,EUPHORBIACEAE,Erythrococca,1575069,179317,Erythrococca berberidea,PLANTAE,TRACHEOPHYTA,MALPIGHIALES,MAGNOLIOPSIDA,berberidea,NA,NA,NA,Prain,Least Concern,,3.1,Unknown,Global,1,,
6,Dicot,DILLENIACEAE,Curatella,158506793,158456855,Curatella americana,PLANTAE,TRACHEOPHYTA,DILLENIALES,MAGNOLIOPSIDA,americana,NA,NA,NA,L.,Least Concern,,3.1,Unknown,Global,1,,
7,Dicot,FABACEAE,Callistachys,186000633,186000631,Callistachys lanceolata,PLANTAE,TRACHEOPHYTA,FABALES,MAGNOLIOPSIDA,lanceolata,NA,NA,NA,Vent.,Least Concern,,3.1,Stable,Global,1,,
8,Dicot,RHAMNACEAE,Pomaderris,9856416,34303,Pomaderris hamiltonii,PLANTAE,TRACHEOPHYTA,ROSALES,MAGNOLIOPSIDA,hamiltonii,NA,NA,NA,L.B.Moore,Near Threatened,,2.3,,Global,2,,
9,Dicot,OLEACEAE,Fraxinus,96445347,203366,Fraxinus angustifolia,PLANTAE,TRACHEOPHYTA,LAMIALES,MAGNOLIOPSIDA,angustifolia,NA,NA,NA,Vahl,Least Concern,,3.1,Unknown,Global,1,,
10,Dicot,ZYGOPHYLLACEAE,Tribulus,84011807,203497,Tribulus terrestris,PLANTAE,TRACHEOPHYTA,ZYGOPHYLLALES,MAGNOLIOPSIDA,terrestris,NA,NA,NA,L.,Least Concern,,3.1,Stable,Global,1,,
